CustomerID,BirthYear,Age,Education,Marital_Status,Income,NumberOfKidsAtHome,NumberOfTeensAtHome,TotalNumberOfChildren,EnrollmentDate,DaysSinceEnrollment,Recency,HasComplained,AmountSpentOnWines,AmountSpentOnFruits,AmountSpentOnMeat,AmountSpentOnFish,AmountSpentOnSweets,AmountSpentOnGold,TotalSpending,NumberOfDealsPurchases,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,TotalNumberOfPurchases,NumberOfWebVisitsPerMonth,AcceptedCampaign1,AcceptedCampaign2,AcceptedCampaign3,AcceptedCampaign4,AcceptedCampaign5,AcceptedLastCampaign,TotalAcceptedCampaigns
5524,1957,57,Graduation,Single,58138,0,0,0,2012-09-04,663,58,0,635,88,546,172,88,88,1617,3,8,10,4,25,7,0,0,0,0,0,1,1
2174,1954,60,Graduation,Single,46344,1,1,2,2014-03-08,113,38,0,11,1,6,2,1,6,27,2,1,1,2,6,5,0,0,0,0,0,0,0
4141,1965,49,Graduation,Together,71613,0,0,0,2013-08-21,312,26,0,426,49,127,111,21,42,776,1,8,2,10,21,4,0,0,0,0,0,0,0
6182,1984,30,Graduation,Together,26646,1,0,1,2014-02-10,139,26,0,11,4,20,10,3,5,53,2,2,0,4,8,6,0,0,0,0,0,0,0
5324,1981,33,PhD,Married,58293,1,0,1,2014-01-19,161,94,0,173,43,118,46,27,15,422,5,5,3,6,19,5,0,0,0,0,0,0,0
7446,1967,47,Master,Together,62513,0,1,1,2013-09-09,293,16,0,520,42,98,0,42,14,716,2,6,4,10,22,6,0,0,0,0,0,0,0
965,1971,43,Graduation,Divorced,55635,0,1,1,2012-11-13,593,34,0,235,65,164,50,49,27,590,4,7,3,7,21,6,0,0,0,0,0,0,0
6177,1985,29,PhD,Married,33454,1,0,1,2013-05-08,417,32,0,76,10,56,3,1,23,169,2,4,0,4,10,8,0,0,0,0,0,0,0
4855,1974,40,PhD,Together,30351,1,0,1,2013-06-06,388,19,0,14,0,24,3,3,2,46,1,3,0,2,6,9,0,0,0,0,0,1,1
5899,1950,64,PhD,Together,5648,1,1,2,2014-03-13,108,68,0,28,0,6,1,1,13,49,1,1,0,0,2,20,0,0,1,0,0,0,1
1994,1983,31,Graduation,Married,0,1,0,1,2013-11-15,226,11,0,5,5,6,0,2,1,19,1,1,0,2,4,7,0,0,0,0,0,0,0
387,1976,38,Basic,Married,7500,0,0,0,2012-11-13,593,59,0,6,16,11,11,1,16,61,1,2,0,3,6,8,0,0,0,0,0,0,0
2125,1959,55,Graduation,Divorced,63033,0,0,0,2013-11-15,226,82,0,194,61,480,225,112,30,1102,1,3,4,8,16,2,0,0,0,0,0,0,0
8180,1952,62,Master,Divorced,59354,1,1,2,2013-11-15,226,53,0,233,2,53,3,5,14,310,3,6,1,5,15,6,0,0,0,0,0,0,0
2569,1987,27,Graduation,Married,17323,0,0,0,2012-10-10,627,38,0,3,14,17,6,1,5,46,1,1,0,3,5,8,0,0,0,0,0,0,0
2114,1946,68,PhD,Single,82800,0,0,0,2012-11-24,582,23,0,1006,22,115,59,68,45,1315,1,7,6,12,26,3,1,0,0,0,1,1,3
9736,1980,34,Graduation,Married,41850,1,1,2,2012-12-24,552,51,0,53,5,19,2,13,4,96,3,3,0,3,9,8,0,0,0,0,0,0,0
4939,1946,68,Graduation,Together,37760,0,0,0,2012-08-31,667,20,0,84,5,38,150,12,28,317,2,4,1,6,13,7,0,0,0,0,0,0,0
6565,1949,65,Master,Married,76995,0,1,1,2013-03-28,458,91,0,1012,80,498,0,16,176,1782,2,11,4,9,26,5,1,0,0,0,0,0,1
2278,1985,29,2n Cycle,Single,33812,1,0,1,2012-11-03,603,86,0,4,17,19,30,24,39,133,2,2,1,3,8,6,0,0,0,0,0,0,0
9360,1982,32,Graduation,Married,37040,0,0,0,2012-08-08,690,41,0,86,2,73,69,38,48,316,1,4,2,5,12,8,0,0,0,0,0,0,0
5376,1979,35,Graduation,Married,2447,1,0,1,2013-01-06,539,42,0,1,1,1725,1,1,1,1730,15,0,28,0,43,1,0,0,0,0,0,0,0
1993,1949,65,PhD,Married,58607,0,1,1,2012-12-23,553,63,0,867,0,86,0,0,19,972,3,2,3,9,17,8,0,0,0,1,0,0,1
